i1,j1,i2,j2
6,69,7,69
38,104,38,105
95,146,95,147
40,42,41,42
62,180,63,180
20,196,20,197
40,17,40,18
12,108,12,109
92,82,93,82
37,3,37,4
34,135,35,135
18,194,19,194
40,57,41,57
15,156,16,156
85,61,86,61
20,189,21,189
74,172,75,172
91,15,92,15
94,114,95,114
54,46,55,46
83,162,84,162
12,193,12,194
60,175,61,175
98,42,99,42
44,76,45,76
43,126,44,126
1,142,1,143
43,103,44,103
38,129,39,129
92,157,93,157
94,176,94,177
0,147,0,148
48,129,49,129
3,154,3,155
54,130,54,131
85,177,86,177
1,135,2,135
66,24,67,24
13,197,14,197
4,160,4,161
57,198,58,198
84,171,84,172
84,148,84,149
55,139,55,140
57,15,58,15
80,165,81,165
16,175,17,175
88,161,88,162
85,191,86,191
72,19,72,20
46,28,47,28
82,91,82,92
12,10,13,10
2,67,2,68
60,61,60,62
19,180,19,181
41,84,42,84
90,50,90,51
4,92,5,92
26,58,26,59
41,181,41,182
72,121,72,122
6,1,6,2
50,22,51,22
9,118,10,118
0,41,0,42
21,164,22,164
2,185,3,185
6,79,7,79
8,81,8,82
62,129,63,129
39,79,40,79
82,24,82,25
70,18,71,18
91,55,92,55
4,129,5,129
27,131,28,131
98,192,98,193
37,89,38,89
24,117,25,117
64,111,65,111
24,70,24,71
87,50,87,51
83,179,84,179
78,58,79,58
29,126,29,127
43,4,44,4
50,36,51,36
3,150,4,150
32,110,32,111
55,3,56,3
66,130,67,130
41,142,41,143
65,157,66,157
92,89,93,89
17,168,17,169
9,101,9,102
63,41,64,41
88,38,88,39
28,66,28,67
2,32,2,33
27,121,27,122
34,48,34,49
64,125,65,125
36,106,36,107
90,134,90,135
35,30,36,30
11,55,11,56
15,163,15,164
89,58,90,58
47,114,48,114
63,146,63,147
16,81,16,82
22,190,23,190
11,48,11,49
92,96,93,96
44,7,44,8
85,170,86,170
42,138,42,139
48,183,49,183
29,29,29,30
19,88,19,89
25,66,25,67
93,30,94,30
72,195,72,196
90,92,91,92
40,133,40,134
53,105,54,105
39,23,39,24
76,145,77,145
29,43,29,44
95,32,95,33
82,186,82,187
46,163,46,164
91,199,92,199
16,111,17,111
46,156,46,157
14,52,14,53
99,45,99,46
75,7,75,8
61,148,61,149
0,126,1,126
6,4,7,4
44,106,44,107
85,48,85,49
30,157,31,157
36,17,37,17
93,27,93,28
74,96,75,96
71,54,72,54
87,67,87,68
87,60,87,61
12,119,13,119
9,104,10,104
61,26,62,26
82,193,82,194
63,86,63,87
73,2,73,3
43,50,43,51
8,193,9,193
12,64,12,65
24,73,25,73
90,159,90,160
54,54,54,55
76,25,77,25
31,74,32,74
85,55,85,56
13,121,14,121
67,104,68,104
1,6,2,6
50,101,51,101
10,59,10,60
12,126,13,126
52,79,52,80
3,174,4,174
7,45,7,46
59,45,60,45
14,39,15,39
85,140,85,141
9,37,10,37
80,66,81,66
23,24,24,24
31,152,32,152
85,180,86,180
34,11,34,12
0,114,1,114
34,72,34,73
48,146,49,146
51,153,52,153
0,157,0,158
48,139,49,139
35,54,36,54
12,156,12,157
46,64,46,65
14,87,15,87
18,5,19,5
74,99,75,99
58,131,58,132
98,102,98,103
49,135,49,136
38,160,39,160
70,96,71,96
83,43,83,44
76,155,77,155
94,139,94,140
57,175,57,176
91,171,92,171
9,107,10,107
69,184,70,184
54,161,54,162
52,181,53,181
30,65,31,65
75,71,76,71
92,28,92,29
35,139,36,139
14,155,15,155
25,63,26,63
70,180,70,181
73,169,73,170
93,90,93,91
12,170,12,171
53,112,53,113
49,197,50,197
44,116,44,117
14,101,15,101
55,170,55,171
22,143,22,144
49,149,49,150
79,50,80,50
96,5,96,6
65,104,65,105
98,63,98,64
25,186,26,186
74,157,74,158
48,55,48,56
54,186,55,186
92,53,93,53
89,174,90,174
79,183,79,184
90,194,91,194
12,75,13,75
76,42,77,42
55,59,56,59
83,135,83,136
55,52,56,52
56,191,57,191
28,196,28,197
72,84,72,85
34,178,34,179
69,70,69,71
7,22,8,22
30,127,31,127
17,129,17,130
77,178,77,179
42,150,42,151
68,182,68,183
36,126,37,126
3,99,4,99
38,95,39,95
95,188,96,188
62,189,62,190
96,97,96,98
62,153,63,153
28,101,29,101
40,145,40,146
51,138,51,139
81,151,81,152
92,145,93,145
3,113,4,113
6,39,6,40
57,170,57,171
31,136,31,137
90,190,90,191
57,186,58,186
99,182,99,183
49,174,49,175
59,154,60,154
86,13,87,13
91,134,92,134
47,107,48,107
49,167,49,168
84,25,85,25
41,62,42,62
40,175,41,175
38,187,39,187
60,198,60,199
19,106,20,106
73,134,74,134
58,87,58,88
60,88,61,88
15,187,16,187
68,170,68,171
97,177,97,178
34,113,34,114
8,79,8,80
5,109,6,109
84,93,85,93
62,39,63,39
65,114,66,114
46,71,46,72
62,100,63,100
39,50,40,50
69,66,70,66
58,172,58,173
18,107,19,107
26,154,27,154
78,31,78,32
23,140,24,140
60,102,61,102
41,161,41,162
34,150,34,151
97,82,98,82
40,22,40,23
60,95,61,95
39,135,40,135
43,6,43,7
26,50,27,50
2,125,2,126
76,81,77,81
65,128,66,128
77,127,77,128
48,32,48,33
70,6,71,6
99,8,99,9
96,114,96,115
69,77,69,78
37,22,37,23
92,162,93,162
45,150,45,151
40,29,40,30
66,63,66,64
28,23,29,23
33,56,34,56
55,161,56,161
60,194,61,194
2,98,3,98
61,51,61,52
69,179,69,180
20,148,21,148
98,54,99,54
35,10,35,11
26,18,27,18
41,34,42,34
76,143,77,143
37,178,38,178
76,118,76,119
19,123,20,123
14,2,15,2
83,85,84,85
56,55,56,56
28,169,29,169
95,43,96,43
34,65,34,66
2,112,3,112
5,119,6,119
97,188,98,188
35,133,35,134
49,82,50,82
41,89,42,89
25,57,26,57
40,159,40,160
8,35,9,35
67,7,68,7
87,81,88,81
33,5,33,6
32,60,32,61
23,150,24,150
85,117,85,118
83,6,83,7
62,46,62,47
42,75,43,75
35,147,35,148
30,28,31,28
4,134,5,134
41,164,42,164
60,58,61,58
45,35,45,36
44,195,45,195
17,189,18,189
18,138,19,138
43,9,44,9
53,75,53,76
27,41,27,42
22,174,22,175
3,67,3,68
70,46,71,46
19,160,19,161
96,164,97,164
40,71,41,71
65,155,66,155
24,61,25,61
40,46,40,47
62,141,63,141
66,80,66,81
79,115,80,115
57,164,58,164
92,16,93,16
85,90,86,90
42,58,42,59
2,7,2,8
78,72,78,73
28,0,28,1
83,191,84,191
90,116,91,116
61,23,61,24
83,166,83,167
22,56,23,56
17,180,17,181
44,12,44,13
40,53,40,54
45,127,45,128
73,53,73,54
72,108,73,108
91,102,91,103
91,34,91,35
54,71,54,72
71,131,72,131
52,91,53,91
68,157,69,157
88,20,88,21
2,14,2,15
1,69,1,70
4,63,4,64
90,146,90,147
59,156,60,156
89,70,90,70
66,172,66,173
97,112,97,113
63,158,63,159
29,135,30,135
77,118,78,118
83,124,84,124
12,141,12,142
22,162,22,163
35,57,36,57
42,157,42,158
86,45,86,46
51,162,51,163
83,31,83,32
85,182,86,182
99,192,99,193
7,193,7,194
4,179,4,180
99,20,99,21
29,96,30,96
26,127,27,127
13,129,13,130
43,159,43,160
50,86,50,87
31,160,32,160
63,172,63,173
45,12,46,12
38,41,38,42
49,137,49,138
33,84,34,84
32,69,32,70
75,182,76,182
56,164,56,165
92,98,92,99
97,43,98,43
64,181,64,182
45,74,45,75
4,193,4,194
8,42,8,43
49,184,50,184
76,30,77,30
70,9,71,9
29,53,30,53
16,19,17,19
45,21,45,22
84,158,85,158
4,140,4,141
70,2,71,2
6,54,7,54
69,126,69,127
29,87,29,88
6,37,6,38
28,11,29,11
99,180,99,181
71,145,71,146
47,3,48,3
34,181,34,182
11,173,11,174
37,64,38,64
45,192,46,192
27,99,28,99
90,79,91,79
87,65,88,65
10,50,11,50
9,12,10,12
75,62,76,62
27,150,27,151
93,155,93,156
82,83,83,83
24,136,24,137
64,107,64,108
1,1,1,2
21,122,21,123
36,135,36,136
74,2,74,3
56,19,57,19
95,174,95,175
54,31,55,31
61,47,61,48
25,4,26,4
1,120,2,120
99,187,99,188
82,145,82,146
51,179,51,180
20,5,21,5
45,113,45,114
22,131,22,132
73,146,74,146
91,88,91,89
31,116,31,117
80,112,81,112
6,136,6,137
91,58,91,59
6,197,6,198
13,124,13,125
25,88,25,89
88,57,89,57
9,161,9,162
12,168,12,169
50,103,50,104
66,196,66,197
9,172,10,172
11,67,11,68
49,147,49,148
91,143,91,144
65,109,65,110
98,68,98,69
95,54,95,55
31,130,31,131
56,111,57,111
84,119,85,119
67,128,67,129
13,138,13,139
15,196,15,197
72,106,73,106
26,182,26,183
96,111,97,111
80,170,81,170
23,168,23,169
63,169,64,169
29,150,29,151
12,9,13,9
78,59,79,59
91,157,91,158
88,166,88,167
60,2,60,3
77,86,78,86
9,133,10,133
94,8,94,9
13,170,13,171
76,14,76,15
72,120,73,120
57,97,57,98
33,29,33,30
18,149,18,150
16,5,17,5
55,71,56,71
42,14,42,15
8,168,9,168
15,93,16,93
72,96,72,97
93,165,94,165
35,69,36,69
94,45,94,46
45,176,45,177
0,16,0,17
91,54,92,54
12,62,12,63
37,88,38,88
40,95,41,95
13,177,13,178
40,9,40,10
74,5,75,5
72,152,73,152
39,158,39,159
24,75,24,76
89,33,89,34
89,26,89,27
61,140,62,140
35,83,36,83
74,60,75,60
20,12,20,13
73,139,74,139
76,146,77,146
65,31,65,32
5,59,5,60
67,138,67,139
35,161,36,161
31,141,32,141
22,189,23,189
7,166,7,167
2,45,2,46
35,75,35,76
4,152,4,153
94,129,94,130
29,99,29,100
75,185,76,185
57,53,58,53
83,1,83,2
88,183,88,184
52,186,53,186
82,199,83,199
49,172,50,172
60,12,60,13
62,119,63,119
12,70,13,70
79,151,79,152
45,23,45,24
18,126,19,126
79,144,79,145
59,23,60,23
77,163,78,163
55,81,56,81
13,122,14,122
18,71,18,72
90,42,90,43
60,114,61,114
70,72,71,72
97,8,97,9
13,68,14,68
75,114,75,115
55,78,55,79
52,64,52,65
59,37,60,37
98,184,98,185
41,187,41,188
40,48,40,49
2,151,2,152
28,42,29,42
17,102,18,102
80,11,80,12
63,33,64,33
80,4,80,5
55,92,55,93
5,124,6,124
2,110,3,110
69,191,69,192
61,124,61,125
45,10,46,10
40,164,40,165
86,42,87,42
21,35,22,35
5,70,6,70
68,90,68,91
76,137,76,138
55,141,56,141
86,71,86,72
10,183,11,183
86,25,86,26
56,74,56,75
87,15,88,15
28,188,29,188
32,35,32,36
92,14,93,14
5,45,5,46
23,101,24,101
94,168,94,169
41,169,42,169
43,14,44,14
87,100,88,100
80,103,80,104
86,85,86,86
43,139,43,140
65,89,66,89
69,7,70,7
81,6,81,7
87,93,88,93
19,165,19,166
8,69,9,69
48,40,49,40
57,30,58,30
18,82,19,82
80,62,81,62
39,76,39,77
86,134,87,134
41,183,42,183
3,35,4,35
67,152,67,153
7,180,7,181
50,80,50,81
11,132,11,133
6,93,6,94
29,113,29,114
33,31,33,32
60,121,60,122
45,63,46,63
0,65,0,66
68,30,69,30
59,126,59,127
29,55,30,55
30,70,30,71
35,191,35,192
63,96,64,96
21,117,21,118
69,99,70,99
21,110,21,111
78,152,78,153
31,26,31,27
78,84,78,85
80,22,81,22
77,35,77,36
30,172,30,173
66,106,66,107
2,73,3,73
48,153,48,154
22,119,22,120
14,31,15,31
24,138,24,139
91,114,91,115
89,112,90,112
95,66,95,67
97,192,97,193
97,124,97,125
13,104,13,105
40,127,40,128
37,136,37,137
63,170,63,171
95,18,96,18
11,95,12,95
3,156,4,156
55,194,55,195
29,7,29,8
93,186,93,187
34,40,34,41
42,104,43,104
89,159,89,160
56,155,57,155
60,49,61,49
66,198,66,199
31,172,32,172
42,12,42,13
72,86,73,86
8,78,9,78
50,40,51,40
42,189,43,189
46,83,47,83
0,82,0,83
88,146,88,147
64,193,64,194
90,84,91,84
39,15,39,16
62,82,62,83
81,161,81,162
87,45,87,46
5,193,6,193
72,62,73,62
38,108,38,109
5,186,6,186
45,33,45,34
69,109,70,109
4,102,5,102
57,139,58,139
67,34,67,35
49,51,50,51
98,150,99,150
66,171,67,171
89,85,90,85
44,184,45,184
3,103,3,104
27,118,28,118
42,196,43,196
75,10,76,10
34,170,34,171
76,56,77,56
8,170,9,170
27,94,27,95
91,63,91,64
24,148,24,149
81,122,81,123
59,185,60,185
87,161,87,162
35,46,35,47
97,139,98,139
68,46,68,47
14,15,14,16
70,151,71,151
73,72,73,73
60,10,61,10
16,138,17,138
28,114,28,115
68,176,69,176
32,24,33,24
95,159,96,159
10,146,11,146
57,33,58,33
16,152,17,152
93,68,93,69
13,150,13,151
8,71,8,72
76,59,77,59
8,173,9,173
95,120,96,120
2,189,3,189
12,89,13,89
41,44,41,45
69,58,70,58
92,20,92,21
36,11,37,11
29,116,29,117
7,39,8,39
9,145,10,145
61,67,62,67
6,66,6,67
64,74,65,74
30,159,31,159
66,93,67,93
45,133,46,133
21,158,22,158
32,190,32,191
13,162,14,162
58,26,58,27
30,133,30,134
90,186,91,186
97,109,97,110
53,199,54,199
10,76,10,77
54,56,54,57
26,79,27,79
55,44,56,44
23,65,24,65
42,40,42,41
22,4,22,5
88,143,89,143
61,159,62,159
6,158,6,159
49,67,49,68
75,51,76,51
98,114,99,114
65,87,66,87
9,183,9,184
74,14,74,15
11,96,11,97
11,28,11,29
86,51,86,52
19,136,19,137
24,189,24,190
73,96,73,97
35,180,36,180
67,150,67,151
14,96,15,96
91,165,92,165
98,111,98,112
41,69,41,70
72,9,72,10
57,162,57,163
80,199,81,199
74,154,75,154
94,141,94,142
73,181,73,182
87,33,87,34
38,20,39,20
48,20,49,20
13,73,14,73
30,68,30,69
36,50,36,51
93,24,93,25
26,109,26,110
35,101,35,102
35,162,35,163
89,122,89,123
95,104,95,105
78,62,78,63
25,86,26,86
4,126,5,126
12,28,13,28
54,88,54,89
57,95,57,96
86,102,86,103
43,1,44,1
63,134,63,135
59,114,59,115
94,74,94,75
40,86,41,86
18,99,19,99
30,143,30,144
56,177,56,178
35,176,35,177
81,124,81,125
12,37,12,38
71,116,72,116
49,62,49,63
46,179,46,180
89,55,89,56
17,131,17,132
57,149,58,149
97,102,97,103
54,101,55,101
17,114,18,114
83,102,84,102
10,100,10,101
22,99,22,100
63,45,64,45
81,138,81,139
44,66,45,66
16,71,16,72
88,42,88,43
81,28,82,28
6,165,6,166
94,143,94,144
2,75,3,75
0,155,1,155
46,51,46,52
1,163,2,163
37,116,37,117
54,176,55,176
22,113,22,114
3,6,3,7
32,47,32,48
96,126,97,126
44,148,45,148
59,117,59,118
35,164,35,165
89,147,89,148
93,64,94,64
75,160,76,160
82,174,83,174
17,119,17,120
96,181,97,181
79,187,79,188
43,47,43,48
2,166,2,167
97,35,98,35
94,21,95,21
71,123,71,124
60,89,61,89
75,167,76,167
48,73,48,74
99,49,99,50
6,76,7,76
14,158,14,159
50,92,50,93
77,182,77,183
83,183,83,184
66,42,67,42
64,92,64,93
19,191,19,192
39,173,39,174
71,137,71,138
1,57,2,57
33,97,34,97
1,93,1,94
27,188,27,189
78,96,78,97
45,89,46,89
69,132,69,133
39,180,39,181
13,189,14,189
86,3,87,3
45,158,45,159
80,118,80,119
46,61,46,62
17,13,17,14
4,79,4,80
63,69,64,69
